"Zeitstempel","Haushalts ID","Geschlecht","Alter","Höchste abgeschlossene Ausbildung","Berufliche Situation","In welcher beruflichen Branche bist du tätig?","Wie gut gelingt es dir, deinen Haushaltsaufgaben regelmäßig nachzukommen?","Wie schätzt du deinen Umgang mit grafischen Darstellungen von Daten ein (z. B. Lesen und Erstellen von Diagrammen, Infografiken)?","Wie schätzt du deine Vorerfahrung im Bezug auf Gamification ein? (Spielerische Elemente wie Punkte, Belohnungen oder Fortschrittsbalken in Apps oder Systemen, um Motivation und Engagement zu steigern.)"
"2024/11/23 12:20:32 PM MEZ","2","Weiblich","37","Kolleg","Vollzeit berufstätig","Werbung und Marketing","3","1","3"
"2024/11/23 12:38:36 PM MEZ","3","Weiblich","25","Hochschulabschluss (z. B. Bachelor, Master)","In Ausbildung/Studium;Projektbezogene Arbeit","Kreativbranche/Design","4","2","2"
"2024/11/23 1:33:40 PM MEZ","6","Weiblich","27","Hochschulabschluss (z. B. Bachelor, Master)","Teilzeit berufstätig","IT","4","1","3"
"2024/11/23 6:44:37 PM MEZ","6","Männlich","26","Hochschulabschluss (z. B. Bachelor, Master)","Teilzeit berufstätig","IT","1","1","4"
"2024/11/23 8:33:51 PM MEZ","2","Männlich","33","Lehre","Vollzeit berufstätig","Handel","3","1","2"
"2024/11/23 8:55:58 PM MEZ","1","Männlich","26","Fachschule","Vollzeit berufstätig","Energiewirtschaft","4","4","2"
"2024/11/23 8:57:09 PM MEZ","1","Weiblich","24","Hochschulabschluss (z. B. Bachelor, Master)","Vollzeit berufstätig","Bildung ","3","4","3"
"2024/11/25 1:21:18 AM MEZ","5","Männlich","36","Matura","Vollzeit berufstätig","Abfallwirtschaft","3","1","5"
"2024/11/25 1:21:18 AM MEZ","5","Weiblich","42","Lehre","Vollzeit berufstätig","Werbung","4","1","5"
"2024/12/02 8:54:07 PM MEZ","4","Männlich","25","Matura","In Ausbildung/Studium","Medizin","4","2","2"
"2024/12/02 8:55:50 PM MEZ","4","Weiblich","24","Matura","Vollzeit berufstätig","Lehrerin ","5","2","1"
"2024/12/03 6:47:05 PM MEZ","3","Weiblich","27","Hochschulabschluss (z. B. Bachelor, Master)","In Ausbildung/Studium;Teilzeit berufstätig","Werbebranche ","4","1","1"